Ниша;Ozon_заказы;Ozon_выкупы;Ozon_по_цене_покуп;WB_выручка_выкупы;Ozon_div_WB
Диваны раскладные и пр.;7955840675;6587436078;5269948863;2738681250;1.92
Матрас;10640376360;8969837271;7175869817;6849739100;1.05
Шкаф распашной;7006280404;6158520475;4926816380;3986889550;1.24
Стул + комплекты;6750385891;5420559870;4336447896;4461104500;0.97
Стеллаж;4039915466;3341010090;2672808072;3104797500;0.86
Стол обеденный;4197437908;3412517019;2730013615;1828344125;1.49
Комод;3239415237;2704911722;2163929378;2475096475;0.87
Кухонный гарнитур;2107452005;1778689492;1422951593;2026705400;0.7
Полка;2676648139;2213588010;1770870408;1132083800;1.56
Обувница;1728112389;1442973844;1154379075;1993377875;0.58
Комплект садовой мебели;2286100930;1872316661;1497853329;1198007325;1.25
Кухонные модули;2296317080;1938091615;1550473292;974509825;1.59
Журнальный стол;1213630435;986681543;789345234;1042344275;0.76
Пуф;937751251;753014254;602411403;790629725;0.76
Столешница;1180867007;1001375221;801100177;292362413;2.74
Раскладушка;705750569;599887983;479910386;723513200;0.66
Топперы-наматрасники;755821305;637157360;509725888;888686385;0.57
Кресло-качалка;512442941;424302755;339442204;414536900;0.82
Туалетный столик;674560139;548417393;438733914;841829250;0.52
Табурет;419544200;336893992;269515194;715167133;0.38
Подвесное кресло;553174499;458028485;366422788;773159775;0.47
Гардеробная система;722629413;635191254;508153003;254421793;2.0
Кресло-кровать;632627241;523815355;419052284;370212100;1.13
Скамья садовая;620604849;508275371;406620297;451405150;0.9
Бескаркасный диван;432698927;351784227;281427382;969408550;0.29
Кресло-мешок;342458579;278418824;222735059;328513975;0.68
Двухъярусная кровать;396856565;337328080;269862464;196706750;1.37
Обеденная группа;146470621;124792969;99834375;719609625;0.14
